,0
0,0.9999973436202945
1,0.9999980690629029
2,0.9999943080050959
3,0.9995218465543323
4,0.9999997944784295
5,0.9999713490223404
6,0.999929960410622
7,0.9999990576166453
8,0.9998113329304547
9,0.999925238430293
10,0.9998155793116386
11,0.9999993026703148
12,0.9999565470052442
13,0.9999608361558309
14,0.9999275916262129
15,0.99955155211219
16,0.999942238613996
17,0.9999737547449481
18,0.9999947269543267
19,0.9999999544413142
20,0.9999045967219825
21,0.9997668067817581
22,0.99999888209961
23,0.9999773816184561
24,0.9999971084097612
25,0.9999996385650782
26,0.9999958102823738
27,0.9999662508109891
28,0.9999998415227082
29,0.9999227249717764
30,0.9999842540563
31,0.9999892005138378
32,0.9999944110471184
33,0.9999999596893483
34,0.9998912681837822
35,0.9999990408228514
36,0.9999954744500623
37,0.9999909772640402
38,0.9997496262058814
39,0.9999849068075191
40,0.9983737945796668
41,0.9998093706493424
42,0.999780789967986
43,0.9999474276665744
44,0.9999813318231873
45,0.9999891030168857
46,0.9999902147791209
47,0.9797186773242291
48,0.9999225832335159
49,0.9999963853933508
50,0.9999993939220956
51,0.9999760151412684
52,0.99999741949277
53,0.999748204562433
54,0.999848234108514
55,0.9999999817114514
56,0.9999985398700281
57,0.9996826099469359
58,0.9995600725071832
59,0.9999329997491992
60,0.999996612429508
61,0.9999974948643593
62,0.9999651692729478
63,0.9999947091586879
64,0.9999970182358376
65,0.9999966372157159
66,0.9999997762764065
67,0.9999951889836958
68,0.99999968153229
69,0.9999786620523509
70,0.9998378030154399
71,0.9999820208226201
72,0.9999999084521397
73,0.9999941627806215
74,0.9999961233475184
75,0.9999398345353986
76,0.9999281158836113
77,0.9999972603795139
78,0.9999970138672777
79,0.9998343630089214
80,0.9999376474376417
81,0.9997646354518461
82,0.9999745537543311
83,0.9998927641308952
84,0.999950716356579
85,0.9993990503247218
86,0.9999210269256079
87,0.999997852630962
88,0.9999785125540619
89,0.9999653182260649
90,0.9997560149529547
91,0.9999999732926212
92,0.9999828916836705
93,0.9998543686845097
94,0.9999417566820189
95,0.99999986049971
96,0.9999999858040249
97,0.9999990466225294
98,0.9988060069368726
99,0.9999448244438784
100,0.9999750169447573
101,0.9999958443470746
102,0.9999215414163493
103,0.9999904814383439
104,0.9998605776308996
105,0.9999491844675211
106,0.9999254728986652
107,0.9999589100154479
108,0.9999867071004906
109,0.9999314254993983
110,0.9999795208950706
111,0.9999091405804212
112,0.9999954764873927
113,0.9999943210709558
114,0.9745576842222725
115,0.999963102599851
116,0.9999618764560184
117,0.9999982246447391
118,0.9999430994669327
119,0.999928594519996
120,0.9993008279888238
121,0.9999762868969614
122,0.999999484882828
123,0.9999989704751816
124,0.9998964530387545
125,0.9999995940268404
126,0.9999821118386789
127,0.9999875654548477
128,0.9999992714220477
129,0.9997729572906136
130,0.9999098558239341
131,0.9999796230975093
132,0.9987615753864988
133,0.99988652989011
134,0.9921145690632615
135,0.9999952542028321
136,0.999994950068518
137,0.9998981801266452
138,0.9999932666357939
139,0.999915145692544
140,0.9999959410183826
141,0.9999467762961727
142,0.9999658627606203
143,0.9999710766414152
144,0.9999998764408866
145,0.9999993178506619
146,0.9999968894262754
147,0.9997808950619084
148,0.9999959858979793
